"Source:","/home/tng/work/nhayen/electronic/sensor/sensor_board/sensor_board.kicad_sch"
"Date:","Thứ ba, 07 Tháng 2 Năm 2023 21:50:40 +07"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD"
"","","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","","",""
"","","C1","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C2","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C3","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C4","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C5","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C6","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C7","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C8","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C9","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C10","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C11","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C12","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C13","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C14","1n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C15","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C16","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","C17","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"","","D1","1N4728","Device:D_Zener","Diode_SMD:D_SOD-110","~","","","","",""
"","","D2","1N4728","Device:D_Zener","Diode_SMD:D_SOD-110","~","","","","",""
"","","D3","D_Zener_Dual_CommonAnode_KKA","Device:D_Zener_Dual_CommonAnode_KKA","Package_TO_SOT_SMD:SOT-23","~","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5_Pad","~","","","","",""
"","","J1","zigbee connector","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","",""
"","","J2","SWD","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"","","J3","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","https://www.thegioiic.com/cong-usb-micro-b-2-0-dau-cai-5-chan-smd-v2","","","","",""
"","","J4","AM2320","Connector:Conn_01x04_Male","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.seeedstudio.com/Grove-CO2-Temperature-Humidity-Sensor-SCD41-p-5025.html","","","","",""
"","","J5","Lithium_battery_conn","Connector:Conn_01x02_Female","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~","","","","",""
"","","J6","ACC","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"","","J7","DBG_PWR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://www.thegioiic.com/kf8500-2-terminal-khoi-han-pcb-2-cuc-20a-300v-8-25mm-han-pcb","","","","",""
"","","JP1","3.3v Jumper","Jumper:Jumper_2_Bridged","Connector_PinSocket_1.27mm:PinSocket_1x02_P1.27mm_Vertical","~","","","","",""
"","","MK1","AOM-6738P-R","AOM-6738P-R:AOM-6738P-R","microphone:MIC_AOM-6738P-R","","PUI Audio","6.9 mm","B","","IPC 7351B"
"","","Q1","DMP3098LQ","Device:Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","https://www.mouser.vn/datasheet/2/115/DIOD_S_A0002960474_1-2542057.pdf","","","","",""
"","","R1","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R3","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R6","LDR03","Sensor_Optical:LDR03","OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical","http://www.elektronica-componenten.nl/WebRoot/StoreNL/Shops/61422969/54F1/BA0C/C664/31B9/2173/C0A8/2AB9/2AEF/LDR03IMP.pdf","","","","",""
"","","R7","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R9","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R10","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R11","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R12","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R13","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R14","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R15","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R16","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R17","200","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R18","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R19","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","R20","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"","","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~","","","","",""
"","","TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~","","","","",""
"","","U1","MCP6002-xMC","Amplifier_Operational:MCP6002-xMC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","https://www.thegioiic.com/mcp6002-i-sn-ic-opamp-general-purpose-amplifier-2-circuit-1mhz-8-soic","","","","",""
"","","U2","MIC5365-3.3YC5","Regulator_Linear:MIC5365-3.3YC5","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf","","","","",""
"","","U3","STM32L051C8Tx","MCU_ST_STM32L0:STM32L051C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.thegioiic.com/stm32l051c8t6","","","","",""
"","","U4","MIC5365-3.3YC5","Regulator_Linear:MIC5365-3.3YC5","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf","","","","",""
"","","U5","SDC42","SCD41-D-R2:SCD41-D-R2","SCD41-D-R2:XDCR_SCD41-D-R2","","Sensirion","6.8mm","1.2","SCD41-D-R2","Manufacturer Recommendations"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD"
"1","1","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_MPD_BH-18650-PC2","~","","","","",""
"2","9","C1, C3, C5, C8, C9, C10, C11, C12, C13","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"3","1","C2","4.7u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"4","6","C4, C6, C7, C15, C16, C17","0.1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"5","1","C14","1n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","",""
"6","2","D1, D2","1N4728","Device:D_Zener","Diode_SMD:D_SOD-110","~","","","","",""
"7","1","D3","D_Zener_Dual_CommonAnode_KKA","Device:D_Zener_Dual_CommonAnode_KKA","Package_TO_SOT_SMD:SOT-23","~","","","","",""
"8","1","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5_Pad","~","","","","",""
"9","1","J1","zigbee connector","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","",""
"10","1","J2","SWD","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"11","1","J3","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","https://www.thegioiic.com/cong-usb-micro-b-2-0-dau-cai-5-chan-smd-v2","","","","",""
"12","1","J4","AM2320","Connector:Conn_01x04_Male","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","https://www.seeedstudio.com/Grove-CO2-Temperature-Humidity-Sensor-SCD41-p-5025.html","","","","",""
"13","1","J5","Lithium_battery_conn","Connector:Conn_01x02_Female","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","~","","","","",""
"14","1","J6","ACC","Connector:Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"15","1","J7","DBG_PWR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","https://www.thegioiic.com/kf8500-2-terminal-khoi-han-pcb-2-cuc-20a-300v-8-25mm-han-pcb","","","","",""
"16","1","JP1","3.3v Jumper","Jumper:Jumper_2_Bridged","Connector_PinSocket_1.27mm:PinSocket_1x02_P1.27mm_Vertical","~","","","","",""
"17","1","MK1","AOM-6738P-R","AOM-6738P-R:AOM-6738P-R","microphone:MIC_AOM-6738P-R","","PUI Audio","6.9 mm","B","","IPC 7351B"
"18","1","Q1","DMP3098LQ","Device:Q_PMOS_GSD","Package_TO_SOT_SMD:SOT-23","https://www.mouser.vn/datasheet/2/115/DIOD_S_A0002960474_1-2542057.pdf","","","","",""
"19","2","R1, R7","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"20","6","R2, R3, R4, R5, R9, R18","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"21","1","R6","LDR03","Sensor_Optical:LDR03","OptoDevice:R_LDR_10x8.5mm_P7.6mm_Vertical","http://www.elektronica-componenten.nl/WebRoot/StoreNL/Shops/61422969/54F1/BA0C/C664/31B9/2173/C0A8/2AB9/2AEF/LDR03IMP.pdf","","","","",""
"22","4","R8, R10, R11, R12","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"23","2","R13, R14","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"24","1","R15","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"25","1","R16","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"26","1","R17","200","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"27","2","R19, R20","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","",""
"28","2","TP1, TP2","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded","~","","","","",""
"29","1","U1","MCP6002-xMC","Amplifier_Operational:MCP6002-xMC","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","https://www.thegioiic.com/mcp6002-i-sn-ic-opamp-general-purpose-amplifier-2-circuit-1mhz-8-soic","","","","",""
"30","2","U2, U4","MIC5365-3.3YC5","Regulator_Linear:MIC5365-3.3YC5","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://ww1.microchip.com/downloads/en/DeviceDoc/mic5365.pdf","","","","",""
"31","1","U3","STM32L051C8Tx","MCU_ST_STM32L0:STM32L051C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.thegioiic.com/stm32l051c8t6","","","","",""
"32","1","U5","SDC42","SCD41-D-R2:SCD41-D-R2","SCD41-D-R2:XDCR_SCD41-D-R2","","Sensirion","6.8mm","1.2","SCD41-D-R2","Manufacturer Recommendations"
